Site-ID,Species,Total-count
BB,Arrow Goby,4
BB,Bay Pipefish,875
BB,Blackeye Goby (?),1
BB,Cabezon,1
BB,Crescent Gunnel,1
BB,Padded Sculpin,4
BB,Penpoint Gunnel,2
BB,Pile Perch,3
BB,Plainfin Midshipman,132
BB,Saddleback Gunnel,1
BB,Shiner Perch,269
BB,Speckled Sanddab,10
BB,Pacific Staghorn Sculpin,45
BB,Starry Flounder,1
BB,Tidepool Sculpin,2
BB,Whitespotted Greenling,6
MB,Bay Pipefish,252
MB,Buffalo Sculpin,3
MB,Crescent Gunnel,29
MB,Pacific Staghorn Sculpin,2
MB,Padded Sculpin,7
MB,Pile Perch,1
MB,Plainfin Midshipman,22
MB,Saddleback Gunnel,22
MB,Sharpnose Sculpin,1
MB,Shiner Perch,73
MB,Smoothhead Sculpin,3
MB,Stickleback,11
MB,Striped Seaperch,4
MB,Tidepool Sculpin,41
MB,Whitespotted Greenling,1
MuB,Buffalo Sculpin,5
MuB,Copper/Quillback Rockfish,1
MuB,Crescent Gunnel,311
MuB,Great Sculpin,3
MuB,High Cockscomb,39
MuB,Pacific Herring,298
MuB,Pacific Sandlance,7
MuB,Penpoint Gunnel,11
MuB,Rockweed Gunnel,3
MuB,Rockweed Gunnel,42
MuB,Rosylip Sculpin,157
MuB,Saddleback Gunnel,127
MuB,Shiner Perch,2
MuB,Silverspotted Sculpin,6
MuB,Snailfish sp.,6
MuB,Pacific Staghorn Sculpin,4
MuB,Starry Flounder,3
MuB,Stickleback,2
MuB,Surf Smelt,196
MuB,Tidepool Sculpin,68
PB,Bay Goby,6
PB,Bay Pipefish,54
PB,Blackeye Goby,1
PB,Crescent Gunnel,40
PB,Pacific Staghorn Sculpin,5
PB,Padded Sculpin,2
PB,Penpoint Gunnel,1
PB,Plainfin Midshipman,32
PB,Saddleback Gunnel,22
PB,Shiner Perch,173
PB,Smoothhead Sculpin,3
PB,Snake Prickleback,2
PB,Stickleback,148
PB,Tidepool Sculpin,41
PL,Bay Pipefish,3686
PL,Crescent Gunnel,2
PL,English Sole,1
PL,Kelp Greenling,2
PL,Penpoint Gunnel,1
PL,Pile Perch,1
PL,Plainfin Midshipman,263
PL,Saddleback Gunnel,2
PL,Shiner Perch,102
PL,Smoothhead Sculpin,21
PL,Speckled Sanddab,11
PL,Pacific Staghorn Sculpin,1
PL,Whitespotted Greenling,3
SB,Arrow Goby,4
SB,Bay Goby,1
SB,Bay Pipefish,120
SB,Blackeye Goby,51
SB,Crescent Gunnel,80
SB,High Cockscomb,2
SB,Pacific Staghorn Sculpin,1
SB,Padded Sculpin,2
SB,Penpoint Gunnel,2
SB,Pile Perch,1
SB,Plainfin Midshipman,81
SB,Rockfish sp.,2
SB,Saddleback Gunnel,35
SB,Shiner Perch,14
SB,Smoothhead Sculpin,30
SB,Stickleback,24
SB,Tidepool Sculpin,361
SB,Unident. Fish,1
SB,Whitespotted Greenling,1
SS3,Bay Pipefish,84
SS3,Buffalo Sculpin,4
SS3,Crescent Gunnel,16
SS3,Kelp Surfperch,6
SS3,Pacific Staghorn Sculpin,1
SS3,Padded Sculpin,14
SS3,Penpoint Gunnel,2
SS3,Saddleback Gunnel,22
SS3,Sharpnose Sculpin,4
SS3,Shiner Perch,28
SS3,Smoothhead Sculpin,1
SS3,Tidepool Sculpin,4
SS3,Tubesnout,3
SS4,Bay Pipefish,64
SS4,Buffalo Sculpin,1
SS4,Crescent Gunnel,8
SS4,Pacific Staghorn Sculpin,5
SS4,Padded Sculpin,3
SS4,Penpoint Gunnel,9
SS4,Plainfin Midshipman,1
SS4,Saddleback Gunnel,17
SS4,Shiner Perch,17
SS4,Silverspotted Sculpin,2
SS4,Smoothhead Sculpin,2
SS4,Stickleback,4
SS4,Tidepool Sculpin,3
SS4,Tubesnout,2
SS4,Whitespotted Greenling,1
WS,Bay Pipefish,10
WS,Crescent Gunnel,14
WS,English Sole,1
WS,High Cockscomb,6
WS,Penpoint Gunnel,1
WS,Plainfin Midshipman,1
WS,Saddleback Gunnel,28
WS,Shiner Perch,31
WS,Smoothhead Sculpin,1
WS,Snailfish sp.,1
WS,Pacific Staghorn Sculpin,5
WS,Stickleback,1
WS,Surf Smelt,1
WS,Tidepool Sculpin,13
